Date - Heure;Date;Heure;Consommation brute gaz (MW PCS 0°C) - GRTgaz;Statut - GRTgaz;Consommation brute gaz (MW PCS 0°C) - Teréga;Statut - Teréga;Consommation brute gaz totale (MW PCS 0°C);Consommation brute électricité (MW) - RTE;Statut - RTE;Consommation brute totale (MW)
2012-12-31T23:30:00+01:00;31/12/2012;23:30;;;;;;60747;Définitif;
2012-12-31T23:00:00+01:00;31/12/2012;23:00;55363;Définitif;3902;Définitif;59265;60984;Définitif;120249
2012-12-31T22:30:00+01:00;31/12/2012;22:30;;;;;;57527;Définitif;
2012-12-31T22:00:00+01:00;31/12/2012;22:00;58171;Définitif;4300;Définitif;62471;56421;Définitif;118892
2012-12-31T21:30:00+01:00;31/12/2012;21:30;;;;;;57109;Définitif;
2012-12-31T21:00:00+01:00;31/12/2012;21:00;61622;Définitif;4580;Définitif;66202;58331;Définitif;124533
2012-12-31T20:30:00+01:00;31/12/2012;20:30;;;;;;59850;Définitif;
2012-12-31T20:00:00+01:00;31/12/2012;20:00;63573;Définitif;4832;Définitif;68405;61624;Définitif;130029
2012-12-31T19:30:00+01:00;31/12/2012;19:30;;;;;;63407;Définitif;
2012-12-31T19:00:00+01:00;31/12/2012;19:00;66102;Définitif;5146;Définitif;71248;64501;Définitif;135749
2012-12-31T18:30:00+01:00;31/12/2012;18:30;;;;;;64455;Définitif;
2012-12-31T18:00:00+01:00;31/12/2012;18:00;67873;Définitif;5345;Définitif;73218;64013;Définitif;137231
2012-12-31T17:30:00+01:00;31/12/2012;17:30;;;;;;61391;Définitif;
2012-12-31T17:00:00+01:00;31/12/2012;17:00;68093;Définitif;5254;Définitif;73347;58431;Définitif;131778
2012-12-31T16:30:00+01:00;31/12/2012;16:30;;;;;;57385;Définitif;
2012-12-31T16:00:00+01:00;31/12/2012;16:00;66366;Définitif;4726;Définitif;71092;57403;Définitif;128495
2012-12-31T15:30:00+01:00;31/12/2012;15:30;;;;;;57938;Définitif;
2012-12-31T15:00:00+01:00;31/12/2012;15:00;64145;Définitif;4308;Définitif;68453;58904;Définitif;127357
2012-12-31T14:30:00+01:00;31/12/2012;14:30;;;;;;60545;Définitif;
2012-12-31T14:00:00+01:00;31/12/2012;14:00;64483;Définitif;4352;Définitif;68835;60891;Définitif;129726
2012-12-31T13:30:00+01:00;31/12/2012;13:30;;;;;;62034;Définitif;
2012-12-31T13:00:00+01:00;31/12/2012;13:00;66273;Définitif;4606;Définitif;70879;63389;Définitif;134268
2012-12-31T12:30:00+01:00;31/12/2012;12:30;;;;;;62451;Définitif;
2012-12-31T12:00:00+01:00;31/12/2012;12:00;68851;Définitif;5032;Définitif;73883;61724;Définitif;135607
2012-12-31T11:30:00+01:00;31/12/2012;11:30;;;;;;61273;Définitif;
2012-12-31T11:00:00+01:00;31/12/2012;11:00;71401;Définitif;5547;Définitif;76948;61082;Définitif;138030
2012-12-31T10:30:00+01:00;31/12/2012;10:30;;;;;;61040;Définitif;
2012-12-31T10:00:00+01:00;31/12/2012;10:00;73112;Définitif;6004;Définitif;79116;60752;Définitif;139868
2012-12-31T09:30:00+01:00;31/12/2012;09:30;;;;;;60199;Définitif;
2012-12-31T09:00:00+01:00;31/12/2012;09:00;74725;Définitif;6371;Définitif;81096;59339;Définitif;140435
2012-12-31T08:30:00+01:00;31/12/2012;08:30;;;;;;58694;Définitif;
2012-12-31T08:00:00+01:00;31/12/2012;08:00;75161;Définitif;6472;Définitif;81633;57956;Définitif;139589
2012-12-31T07:30:00+01:00;31/12/2012;07:30;;;;;;56537;Définitif;
2012-12-31T07:00:00+01:00;31/12/2012;07:00;75574;Définitif;6453;Définitif;82027;54904;Définitif;136931
2012-12-31T06:30:00+01:00;31/12/2012;06:30;;;;;;53681;Définitif;
2012-12-31T06:00:00+01:00;31/12/2012;06:00;76712;Définitif;6529;Définitif;83241;51974;Définitif;135215
2012-12-31T05:30:00+01:00;31/12/2012;05:30;;;;;;51143;Définitif;
2012-12-31T05:00:00+01:00;31/12/2012;05:00;66732;Définitif;5157;Définitif;71889;50114;Définitif;122003
2012-12-31T04:30:00+01:00;31/12/2012;04:30;;;;;;50073;Définitif;
2012-12-31T04:00:00+01:00;31/12/2012;04:00;60548;Définitif;4435;Définitif;64983;50396;Définitif;115379
2012-12-31T03:30:00+01:00;31/12/2012;03:30;;;;;;51571;Définitif;
2012-12-31T03:00:00+01:00;31/12/2012;03:00;57695;Définitif;4107;Définitif;61802;52784;Définitif;114586
2012-12-31T02:30:00+01:00;31/12/2012;02:30;;;;;;54769;Définitif;
2012-12-31T02:00:00+01:00;31/12/2012;02:00;56700;Définitif;3926;Définitif;60626;55155;Définitif;115781
2012-12-31T01:30:00+01:00;31/12/2012;01:30;;;;;;55651;Définitif;
2012-12-31T01:00:00+01:00;31/12/2012;01:00;56015;Définitif;3851;Définitif;59866;55834;Définitif;115700
2012-12-31T00:30:00+01:00;31/12/2012;00:30;;;;;;58392;Définitif;
2012-12-31T00:00:00+01:00;31/12/2012;00:00;55859;Définitif;3795;Définitif;59654;60099;Définitif;119753
2012-12-30T23:30:00+01:00;30/12/2012;23:30;;;;;;60234;Définitif;
2012-12-30T23:00:00+01:00;30/12/2012;23:00;56135;Définitif;3826;Définitif;59961;61070;Définitif;121031
2012-12-30T22:30:00+01:00;30/12/2012;22:30;;;;;;58333;Définitif;
2012-12-30T22:00:00+01:00;30/12/2012;22:00;59576;Définitif;4238;Définitif;63814;57574;Définitif;121388
2012-12-30T21:30:00+01:00;30/12/2012;21:30;;;;;;58586;Définitif;
2012-12-30T21:00:00+01:00;30/12/2012;21:00;63216;Définitif;4512;Définitif;67728;59826;Définitif;127554
2012-12-30T20:30:00+01:00;30/12/2012;20:30;;;;;;60877;Définitif;
2012-12-30T20:00:00+01:00;30/12/2012;20:00;65186;Définitif;4727;Définitif;69913;62061;Définitif;131974
2012-12-30T19:30:00+01:00;30/12/2012;19:30;;;;;;62362;Définitif;
2012-12-30T19:00:00+01:00;30/12/2012;19:00;66188;Définitif;4812;Définitif;71000;62237;Définitif;133237
2012-12-30T18:30:00+01:00;30/12/2012;18:30;;;;;;60916;Définitif;
2012-12-30T18:00:00+01:00;30/12/2012;18:00;66026;Définitif;4831;Définitif;70857;59401;Définitif;130258
2012-12-30T17:30:00+01:00;30/12/2012;17:30;;;;;;55934;Définitif;
2012-12-30T17:00:00+01:00;30/12/2012;17:00;64956;Définitif;4587;Définitif;69543;52978;Définitif;122521
2012-12-30T16:30:00+01:00;30/12/2012;16:30;;;;;;52006;Définitif;
2012-12-30T16:00:00+01:00;30/12/2012;16:00;62852;Définitif;4265;Définitif;67117;52032;Définitif;119149
2012-12-30T15:30:00+01:00;30/12/2012;15:30;;;;;;52415;Définitif;
2012-12-30T15:00:00+01:00;30/12/2012;15:00;61117;Définitif;4024;Définitif;65141;52876;Définitif;118017
2012-12-30T14:30:00+01:00;30/12/2012;14:30;;;;;;54604;Définitif;
2012-12-30T14:00:00+01:00;30/12/2012;14:00;60735;Définitif;4008;Définitif;64743;55222;Définitif;119965
2012-12-30T13:30:00+01:00;30/12/2012;13:30;;;;;;56810;Définitif;
2012-12-30T13:00:00+01:00;30/12/2012;13:00;62198;Définitif;4114;Définitif;66312;58707;Définitif;125019
2012-12-30T12:30:00+01:00;30/12/2012;12:30;;;;;;57989;Définitif;
2012-12-30T12:00:00+01:00;30/12/2012;12:00;64557;Définitif;4451;Définitif;69008;57188;Définitif;126196
2012-12-30T11:30:00+01:00;30/12/2012;11:30;;;;;;56746;Définitif;
2012-12-30T11:00:00+01:00;30/12/2012;11:00;67492;Définitif;4798;Définitif;72290;56411;Définitif;128701
2012-12-30T10:30:00+01:00;30/12/2012;10:30;;;;;;56058;Définitif;
2012-12-30T10:00:00+01:00;30/12/2012;10:00;70226;Définitif;5058;Définitif;75284;55449;Définitif;130733
2012-12-30T09:30:00+01:00;30/12/2012;09:30;;;;;;54573;Définitif;
2012-12-30T09:00:00+01:00;30/12/2012;09:00;72461;Définitif;5365;Définitif;77826;53315;Définitif;131141
2012-12-30T08:30:00+01:00;30/12/2012;08:30;;;;;;52503;Définitif;
2012-12-30T08:00:00+01:00;30/12/2012;08:00;72385;Définitif;5381;Définitif;77766;51864;Définitif;129630
2012-12-30T07:30:00+01:00;30/12/2012;07:30;;;;;;51012;Définitif;
2012-12-30T07:00:00+01:00;30/12/2012;07:00;71568;Définitif;5319;Définitif;76887;50096;Définitif;126983
2012-12-30T06:30:00+01:00;30/12/2012;06:30;;;;;;49671;Définitif;
2012-12-30T06:00:00+01:00;30/12/2012;06:00;71196;Définitif;5381;Définitif;76577;48875;Définitif;125452
2012-12-30T05:30:00+01:00;30/12/2012;05:30;;;;;;48549;Définitif;
2012-12-30T05:00:00+01:00;30/12/2012;05:00;62219;Définitif;4253;Définitif;66472;48128;Définitif;114600
2012-12-30T04:30:00+01:00;30/12/2012;04:30;;;;;;48392;Définitif;
2012-12-30T04:00:00+01:00;30/12/2012;04:00;57321;Définitif;3748;Définitif;61069;48974;Définitif;110043
2012-12-30T03:30:00+01:00;30/12/2012;03:30;;;;;;50131;Définitif;
2012-12-30T03:00:00+01:00;30/12/2012;03:00;55326;Définitif;3590;Définitif;58916;51534;Définitif;110450
2012-12-30T02:30:00+01:00;30/12/2012;02:30;;;;;;53552;Définitif;
2012-12-30T02:00:00+01:00;30/12/2012;02:00;54332;Définitif;3511;Définitif;57843;54042;Définitif;111885
2012-12-30T01:30:00+01:00;30/12/2012;01:30;;;;;;54646;Définitif;
2012-12-30T01:00:00+01:00;30/12/2012;01:00;53563;Définitif;3454;Définitif;57017;54673;Définitif;111690
2012-12-30T00:30:00+01:00;30/12/2012;00:30;;;;;;57345;Définitif;
2012-12-30T00:00:00+01:00;30/12/2012;00:00;53195;Définitif;3425;Définitif;56620;59017;Définitif;115637
2012-12-29T23:30:00+01:00;29/12/2012;23:30;;;;;;59053;Définitif;
2012-12-29T23:00:00+01:00;29/12/2012;23:00;53580;Définitif;3555;Définitif;57135;59769;Définitif;116904
2012-12-29T22:30:00+01:00;29/12/2012;22:30;;;;;;56928;Définitif;
2012-12-29T22:00:00+01:00;29/12/2012;22:00;56761;Définitif;3956;Définitif;60717;56087;Définitif;116804
2012-12-29T21:30:00+01:00;29/12/2012;21:30;;;;;;57024;Définitif;
2012-12-29T21:00:00+01:00;29/12/2012;21:00;60242;Définitif;4205;Définitif;64447;58453;Définitif;122900
2012-12-29T20:30:00+01:00;29/12/2012;20:30;;;;;;59832;Définitif;
2012-12-29T20:00:00+01:00;29/12/2012;20:00;62208;Définitif;4431;Définitif;66639;61230;Définitif;127869
2012-12-29T19:30:00+01:00;29/12/2012;19:30;;;;;;62252;Définitif;
2012-12-29T19:00:00+01:00;29/12/2012;19:00;63058;Définitif;4489;Définitif;67547;62472;Définitif;130019
2012-12-29T18:30:00+01:00;29/12/2012;18:30;;;;;;61424;Définitif;
2012-12-29T18:00:00+01:00;29/12/2012;18:00;62746;Définitif;4502;Définitif;67248;59955;Définitif;127203
2012-12-29T17:30:00+01:00;29/12/2012;17:30;;;;;;57262;Définitif;
2012-12-29T17:00:00+01:00;29/12/2012;17:00;61343;Définitif;4379;Définitif;65722;54340;Définitif;120062
