Date - Heure;Date;Heure;Consommation brute gaz (MW PCS 0°C) - GRTgaz;Statut - GRTgaz;Consommation brute gaz (MW PCS 0°C) - Teréga;Statut - Teréga;Consommation brute gaz totale (MW PCS 0°C);Consommation brute électricité (MW) - RTE;Statut - RTE;Consommation brute totale (MW)
2017-12-31T23:30:00+01:00;31/12/2017;23:30;;;;;;60479;Définitif;
2017-12-31T23:00:00+01:00;31/12/2017;23:00;50566;Définitif;3721;Définitif;54287;60642;Définitif;114929
2017-12-31T22:30:00+01:00;31/12/2017;22:30;;;;;;57239;Définitif;
2017-12-31T22:00:00+01:00;31/12/2017;22:00;53041;Définitif;4105;Définitif;57146;56233;Définitif;113379
2017-12-31T21:30:00+01:00;31/12/2017;21:30;;;;;;56739;Définitif;
2017-12-31T21:00:00+01:00;31/12/2017;21:00;55922;Définitif;4412;Définitif;60334;57535;Définitif;117869
2017-12-31T20:30:00+01:00;31/12/2017;20:30;;;;;;58640;Définitif;
2017-12-31T20:00:00+01:00;31/12/2017;20:00;57248;Définitif;4570;Définitif;61818;60105;Définitif;121923
2017-12-31T19:30:00+01:00;31/12/2017;19:30;;;;;;61317;Définitif;
2017-12-31T19:00:00+01:00;31/12/2017;19:00;59138;Définitif;4720;Définitif;63858;61791;Définitif;125649
2017-12-31T18:30:00+01:00;31/12/2017;18:30;;;;;;61525;Définitif;
2017-12-31T18:00:00+01:00;31/12/2017;18:00;60460;Définitif;4814;Définitif;65274;60453;Définitif;125727
2017-12-31T17:30:00+01:00;31/12/2017;17:30;;;;;;58177;Définitif;
2017-12-31T17:00:00+01:00;31/12/2017;17:00;59612;Définitif;4689;Définitif;64301;55752;Définitif;120053
2017-12-31T16:30:00+01:00;31/12/2017;16:30;;;;;;54778;Définitif;
2017-12-31T16:00:00+01:00;31/12/2017;16:00;56674;Définitif;4258;Définitif;60932;54678;Définitif;115610
2017-12-31T15:30:00+01:00;31/12/2017;15:30;;;;;;55108;Définitif;
2017-12-31T15:00:00+01:00;31/12/2017;15:00;54837;Définitif;3784;Définitif;58621;55622;Définitif;114243
2017-12-31T14:30:00+01:00;31/12/2017;14:30;;;;;;56720;Définitif;
2017-12-31T14:00:00+01:00;31/12/2017;14:00;54373;Définitif;3862;Définitif;58235;57292;Définitif;115527
2017-12-31T13:30:00+01:00;31/12/2017;13:30;;;;;;58541;Définitif;
