Date - Heure;Date;Heure;Consommation brute gaz (MW PCS 0°C) - GRTgaz;Statut - GRTgaz;Consommation brute gaz (MW PCS 0°C) - Teréga;Statut - Teréga;Consommation brute gaz totale (MW PCS 0°C);Consommation brute électricité (MW) - RTE;Statut - RTE;Consommation brute totale (MW)
2019-12-31T23:30:00+01:00;31/12/2019;23:30;;;;;;66473;Définitif;
2019-12-31T23:00:00+01:00;31/12/2019;23:00;74193;Définitif;3968;Définitif;78161;66714;Définitif;144875
2019-12-31T22:30:00+01:00;31/12/2019;22:30;;;;;;63629;Définitif;
2019-12-31T22:00:00+01:00;31/12/2019;22:00;78306;Définitif;4440;Définitif;82746;62801;Définitif;145547
2019-12-31T21:30:00+01:00;31/12/2019;21:30;;;;;;63404;Définitif;
2019-12-31T21:00:00+01:00;31/12/2019;21:00;82957;Définitif;4908;Définitif;87865;64497;Définitif;152362
2019-12-31T20:30:00+01:00;31/12/2019;20:30;;;;;;65906;Définitif;
2019-12-31T20:00:00+01:00;31/12/2019;20:00;85464;Définitif;5180;Définitif;90644;67587;Définitif;158231
2019-12-31T19:30:00+01:00;31/12/2019;19:30;;;;;;69329;Définitif;
2019-12-31T19:00:00+01:00;31/12/2019;19:00;88357;Définitif;5481;Définitif;93838;70153;Définitif;163991
2019-12-31T18:30:00+01:00;31/12/2019;18:30;;;;;;70175;Définitif;
2019-12-31T18:00:00+01:00;31/12/2019;18:00;90843;Définitif;5730;Définitif;96573;69674;Définitif;166247
2019-12-31T17:30:00+01:00;31/12/2019;17:30;;;;;;67411;Définitif;
2019-12-31T17:00:00+01:00;31/12/2019;17:00;90721;Définitif;5743;Définitif;96464;65097;Définitif;161561
2019-12-31T16:30:00+01:00;31/12/2019;16:30;;;;;;64487;Définitif;
2019-12-31T16:00:00+01:00;31/12/2019;16:00;87500;Définitif;5529;Définitif;93029;64830;Définitif;157859
2019-12-31T15:30:00+01:00;31/12/2019;15:30;;;;;;65569;Définitif;
2019-12-31T15:00:00+01:00;31/12/2019;15:00;84937;Définitif;5405;Définitif;90342;66536;Définitif;156878
2019-12-31T14:30:00+01:00;31/12/2019;14:30;;;;;;68271;Définitif;
2019-12-31T14:00:00+01:00;31/12/2019;14:00;85220;Définitif;5506;Définitif;90726;69642;Définitif;160368
2019-12-31T13:30:00+01:00;31/12/2019;13:30;;;;;;70912;Définitif;
2019-12-31T13:00:00+01:00;31/12/2019;13:00;87550;Définitif;5681;Définitif;93231;72764;Définitif;165995
2019-12-31T12:30:00+01:00;31/12/2019;12:30;;;;;;72434;Définitif;
2019-12-31T12:00:00+01:00;31/12/2019;12:00;91631;Définitif;6066;Définitif;97697;72465;Définitif;170162
2019-12-31T11:30:00+01:00;31/12/2019;11:30;;;;;;72257;Définitif;
2019-12-31T11:00:00+01:00;31/12/2019;11:00;96474;Définitif;6486;Définitif;102960;72421;Définitif;175381
2019-12-31T10:30:00+01:00;31/12/2019;10:30;;;;;;72675;Définitif;
2019-12-31T10:00:00+01:00;31/12/2019;10:00;99899;Définitif;6937;Définitif;106836;72507;Définitif;179343
2019-12-31T09:30:00+01:00;31/12/2019;09:30;;;;;;71837;Définitif;
2019-12-31T09:00:00+01:00;31/12/2019;09:00;101984;Définitif;7294;Définitif;109278;70852;Définitif;180130
2019-12-31T08:30:00+01:00;31/12/2019;08:30;;;;;;69932;Définitif;
2019-12-31T08:00:00+01:00;31/12/2019;08:00;100903;Définitif;7356;Définitif;108259;68843;Définitif;177102
2019-12-31T07:30:00+01:00;31/12/2019;07:30;;;;;;67181;Définitif;
2019-12-31T07:00:00+01:00;31/12/2019;07:00;99757;Définitif;7333;Définitif;107090;65208;Définitif;172298
2019-12-31T06:30:00+01:00;31/12/2019;06:30;;;;;;63769;Définitif;
2019-12-31T06:00:00+01:00;31/12/2019;06:00;98506;Définitif;7286;Définitif;105792;61443;Définitif;167235
2019-12-31T05:30:00+01:00;31/12/2019;05:30;;;;;;60520;Définitif;
2019-12-31T05:00:00+01:00;31/12/2019;05:00;76593;Définitif;5851;Définitif;82444;59166;Définitif;141610
2019-12-31T04:30:00+01:00;31/12/2019;04:30;;;;;;59151;Définitif;
2019-12-31T04:00:00+01:00;31/12/2019;04:00;71063;Définitif;5130;Définitif;76193;59310;Définitif;135503
2019-12-31T03:30:00+01:00;31/12/2019;03:30;;;;;;60175;Définitif;
2019-12-31T03:00:00+01:00;31/12/2019;03:00;68781;Définitif;4744;Définitif;73525;61211;Définitif;134736
2019-12-31T02:30:00+01:00;31/12/2019;02:30;;;;;;62873;Définitif;
2019-12-31T02:00:00+01:00;31/12/2019;02:00;70449;Définitif;4557;Définitif;75006;63443;Définitif;138449
2019-12-31T01:30:00+01:00;31/12/2019;01:30;;;;;;63896;Définitif;
2019-12-31T01:00:00+01:00;31/12/2019;01:00;72158;Définitif;4431;Définitif;76589;64179;Définitif;140768
2019-12-31T00:30:00+01:00;31/12/2019;00:30;;;;;;66479;Définitif;
2019-12-31T00:00:00+01:00;31/12/2019;00:00;73066;Définitif;4336;Définitif;77402;68272;Définitif;145674
2019-12-30T23:30:00+01:00;30/12/2019;23:30;;;;;;68106;Définitif;
2019-12-30T23:00:00+01:00;30/12/2019;23:00;73066;Définitif;4415;Définitif;77481;69085;Définitif;146566
2019-12-30T22:30:00+01:00;30/12/2019;22:30;;;;;;66273;Définitif;
2019-12-30T22:00:00+01:00;30/12/2019;22:00;77817;Définitif;4948;Définitif;82765;65366;Définitif;148131
2019-12-30T21:30:00+01:00;30/12/2019;21:30;;;;;;66409;Définitif;
2019-12-30T21:00:00+01:00;30/12/2019;21:00;83345;Définitif;5373;Définitif;88718;67745;Définitif;156463
2019-12-30T20:30:00+01:00;30/12/2019;20:30;;;;;;69099;Définitif;
2019-12-30T20:00:00+01:00;30/12/2019;20:00;85335;Définitif;5580;Définitif;90915;71142;Définitif;162057
2019-12-30T19:30:00+01:00;30/12/2019;19:30;;;;;;72225;Définitif;
2019-12-30T19:00:00+01:00;30/12/2019;19:00;86558;Définitif;5699;Définitif;92257;72250;Définitif;164507
2019-12-30T18:30:00+01:00;30/12/2019;18:30;;;;;;70730;Définitif;
2019-12-30T18:00:00+01:00;30/12/2019;18:00;86919;Définitif;5722;Définitif;92641;68593;Définitif;161234
2019-12-30T17:30:00+01:00;30/12/2019;17:30;;;;;;65835;Définitif;
2019-12-30T17:00:00+01:00;30/12/2019;17:00;85823;Définitif;5432;Définitif;91255;62954;Définitif;154209
2019-12-30T16:30:00+01:00;30/12/2019;16:30;;;;;;62113;Définitif;
2019-12-30T16:00:00+01:00;30/12/2019;16:00;80694;Définitif;4938;Définitif;85632;62194;Définitif;147826
2019-12-30T15:30:00+01:00;30/12/2019;15:30;;;;;;62896;Définitif;
2019-12-30T15:00:00+01:00;30/12/2019;15:00;76979;Définitif;4667;Définitif;81646;64001;Définitif;145647
2019-12-30T14:30:00+01:00;30/12/2019;14:30;;;;;;65879;Définitif;
