Date - Heure;Date;Heure;Consommation brute gaz (MW PCS 0°C) - GRTgaz;Statut - GRTgaz;Consommation brute gaz (MW PCS 0°C) - Teréga;Statut - Teréga;Consommation brute gaz totale (MW PCS 0°C);Consommation brute électricité (MW) - RTE;Statut - RTE;Consommation brute totale (MW)
2021-12-31T23:30:00+01:00;31/12/2021;23:30;;;;;;54396;Consolidé;
2021-12-31T23:00:00+01:00;31/12/2021;23:00;42348;Définitif;3173;Définitif;45521;54312;Consolidé;99833
2021-12-31T22:30:00+01:00;31/12/2021;22:30;;;;;;52144;Consolidé;
2021-12-31T22:00:00+01:00;31/12/2021;22:00;44756;Définitif;3422;Définitif;48178;51455;Consolidé;99633
2021-12-31T21:30:00+01:00;31/12/2021;21:30;;;;;;52151;Consolidé;
2021-12-31T21:00:00+01:00;31/12/2021;21:00;48030;Définitif;3620;Définitif;51650;53240;Consolidé;104890
2021-12-31T20:30:00+01:00;31/12/2021;20:30;;;;;;54580;Consolidé;
2021-12-31T20:00:00+01:00;31/12/2021;20:00;49452;Définitif;3736;Définitif;53188;56180;Consolidé;109368
2021-12-31T19:30:00+01:00;31/12/2021;19:30;;;;;;57306;Consolidé;
2021-12-31T19:00:00+01:00;31/12/2021;19:00;51510;Définitif;3885;Définitif;55395;57764;Consolidé;113159
2021-12-31T18:30:00+01:00;31/12/2021;18:30;;;;;;57258;Consolidé;
2021-12-31T18:00:00+01:00;31/12/2021;18:00;53172;Définitif;3930;Définitif;57102;56432;Consolidé;113534
2021-12-31T17:30:00+01:00;31/12/2021;17:30;;;;;;54176;Consolidé;
2021-12-31T17:00:00+01:00;31/12/2021;17:00;52565;Définitif;3587;Définitif;56152;52147;Consolidé;108299
2021-12-31T16:30:00+01:00;31/12/2021;16:30;;;;;;51318;Consolidé;
2021-12-31T16:00:00+01:00;31/12/2021;16:00;49191;Définitif;3022;Définitif;52213;51570;Consolidé;103783
2021-12-31T15:30:00+01:00;31/12/2021;15:30;;;;;;52166;Consolidé;
2021-12-31T15:00:00+01:00;31/12/2021;15:00;46832;Définitif;2860;Définitif;49692;52964;Consolidé;102656
2021-12-31T14:30:00+01:00;31/12/2021;14:30;;;;;;54142;Consolidé;
2021-12-31T14:00:00+01:00;31/12/2021;14:00;46630;Définitif;2929;Définitif;49559;55418;Consolidé;104977
2021-12-31T13:30:00+01:00;31/12/2021;13:30;;;;;;56671;Consolidé;
2021-12-31T13:00:00+01:00;31/12/2021;13:00;48962;Définitif;3342;Définitif;52304;58373;Consolidé;110677
2021-12-31T12:30:00+01:00;31/12/2021;12:30;;;;;;57969;Consolidé;
2021-12-31T12:00:00+01:00;31/12/2021;12:00;52795;Définitif;3855;Définitif;56650;57374;Consolidé;114024
2021-12-31T11:30:00+01:00;31/12/2021;11:30;;;;;;57103;Consolidé;
2021-12-31T11:00:00+01:00;31/12/2021;11:00;56661;Définitif;4295;Définitif;60956;57273;Consolidé;118229
2021-12-31T10:30:00+01:00;31/12/2021;10:30;;;;;;57548;Consolidé;
2021-12-31T10:00:00+01:00;31/12/2021;10:00;59503;Définitif;4813;Définitif;64316;57602;Consolidé;121918
2021-12-31T09:30:00+01:00;31/12/2021;09:30;;;;;;57197;Consolidé;
2021-12-31T09:00:00+01:00;31/12/2021;09:00;61693;Définitif;5331;Définitif;67024;56482;Consolidé;123506
2021-12-31T08:30:00+01:00;31/12/2021;08:30;;;;;;55770;Consolidé;
2021-12-31T08:00:00+01:00;31/12/2021;08:00;62032;Définitif;5460;Définitif;67492;54871;Consolidé;122363
2021-12-31T07:30:00+01:00;31/12/2021;07:30;;;;;;53362;Consolidé;
2021-12-31T07:00:00+01:00;31/12/2021;07:00;62317;Définitif;5421;Définitif;67738;51792;Consolidé;119530
2021-12-31T06:30:00+01:00;31/12/2021;06:30;;;;;;50611;Consolidé;
2021-12-31T06:00:00+01:00;31/12/2021;06:00;63219;Définitif;5410;Définitif;68629;48472;Consolidé;117101
2021-12-31T05:30:00+01:00;31/12/2021;05:30;;;;;;47591;Consolidé;
2021-12-31T05:00:00+01:00;31/12/2021;05:00;53125;Définitif;4098;Définitif;57223;46395;Consolidé;103618
2021-12-31T04:30:00+01:00;31/12/2021;04:30;;;;;;46247;Consolidé;
2021-12-31T04:00:00+01:00;31/12/2021;04:00;46825;Définitif;3410;Définitif;50235;46489;Consolidé;96724
2021-12-31T03:30:00+01:00;31/12/2021;03:30;;;;;;47237;Consolidé;
2021-12-31T03:00:00+01:00;31/12/2021;03:00;44177;Définitif;3184;Définitif;47361;48172;Consolidé;95533
2021-12-31T02:30:00+01:00;31/12/2021;02:30;;;;;;49789;Consolidé;
2021-12-31T02:00:00+01:00;31/12/2021;02:00;43124;Définitif;3058;Définitif;46182;50205;Consolidé;96387
