Date - Heure;Date;Heure;Consommation brute gaz (MW PCS 0°C) - GRTgaz;Statut - GRTgaz;Consommation brute gaz (MW PCS 0°C) - Teréga;Statut - Teréga;Consommation brute gaz totale (MW PCS 0°C);Consommation brute électricité (MW) - RTE;Statut - RTE;Consommation brute totale (MW)
2016-12-31T23:30:00+01:00;31/12/2016;23:30;;;;;;75504;Définitif;
2016-12-31T23:00:00+01:00;31/12/2016;23:00;89603;Définitif;4932;Définitif;94535;75424;Définitif;169959
2016-12-31T22:30:00+01:00;31/12/2016;22:30;;;;;;71924;Définitif;
2016-12-31T22:00:00+01:00;31/12/2016;22:00;93633;Définitif;5426;Définitif;99059;70793;Définitif;169852
2016-12-31T21:30:00+01:00;31/12/2016;21:30;;;;;;71318;Définitif;
2016-12-31T21:00:00+01:00;31/12/2016;21:00;98091;Définitif;5838;Définitif;103929;72375;Définitif;176304
2016-12-31T20:30:00+01:00;31/12/2016;20:30;;;;;;73831;Définitif;
2016-12-31T20:00:00+01:00;31/12/2016;20:00;100287;Définitif;6045;Définitif;106332;75653;Définitif;181985
2016-12-31T19:30:00+01:00;31/12/2016;19:30;;;;;;77188;Définitif;
2016-12-31T19:00:00+01:00;31/12/2016;19:00;102899;Définitif;6283;Définitif;109182;77770;Définitif;186952
2016-12-31T18:30:00+01:00;31/12/2016;18:30;;;;;;77768;Définitif;
2016-12-31T18:00:00+01:00;31/12/2016;18:00;104757;Définitif;6436;Définitif;111193;77389;Définitif;188582
2016-12-31T17:30:00+01:00;31/12/2016;17:30;;;;;;74889;Définitif;
2016-12-31T17:00:00+01:00;31/12/2016;17:00;104360;Définitif;6332;Définitif;110692;72290;Définitif;182982
2016-12-31T16:30:00+01:00;31/12/2016;16:30;;;;;;71518;Définitif;
2016-12-31T16:00:00+01:00;31/12/2016;16:00;102469;Définitif;5993;Définitif;108462;71462;Définitif;179924
2016-12-31T15:30:00+01:00;31/12/2016;15:30;;;;;;71937;Définitif;
2016-12-31T15:00:00+01:00;31/12/2016;15:00;100885;Définitif;5822;Définitif;106707;72527;Définitif;179234
2016-12-31T14:30:00+01:00;31/12/2016;14:30;;;;;;74118;Définitif;
2016-12-31T14:00:00+01:00;31/12/2016;14:00;100984;Définitif;5895;Définitif;106879;75020;Définitif;181899
2016-12-31T13:30:00+01:00;31/12/2016;13:30;;;;;;76254;Définitif;
2016-12-31T13:00:00+01:00;31/12/2016;13:00;102420;Définitif;6180;Définitif;108600;77899;Définitif;186499
2016-12-31T12:30:00+01:00;31/12/2016;12:30;;;;;;76749;Définitif;
2016-12-31T12:00:00+01:00;31/12/2016;12:00;105607;Définitif;6587;Définitif;112194;76060;Définitif;188254
2016-12-31T11:30:00+01:00;31/12/2016;11:30;;;;;;75632;Définitif;
2016-12-31T11:00:00+01:00;31/12/2016;11:00;108372;Définitif;6910;Définitif;115282;75279;Définitif;190561
2016-12-31T10:30:00+01:00;31/12/2016;10:30;;;;;;75028;Définitif;
2016-12-31T10:00:00+01:00;31/12/2016;10:00;109953;Définitif;7209;Définitif;117162;74200;Définitif;191362
2016-12-31T09:30:00+01:00;31/12/2016;09:30;;;;;;72819;Définitif;
2016-12-31T09:00:00+01:00;31/12/2016;09:00;110096;Définitif;7311;Définitif;117407;71146;Définitif;188553
2016-12-31T08:30:00+01:00;31/12/2016;08:30;;;;;;70128;Définitif;
2016-12-31T08:00:00+01:00;31/12/2016;08:00;109303;Définitif;7323;Définitif;116626;69040;Définitif;185666
2016-12-31T07:30:00+01:00;31/12/2016;07:30;;;;;;67898;Définitif;
2016-12-31T07:00:00+01:00;31/12/2016;07:00;107844;Définitif;7253;Définitif;115097;66809;Définitif;181906
2016-12-31T06:30:00+01:00;31/12/2016;06:30;;;;;;66000;Définitif;
2016-12-31T06:00:00+01:00;31/12/2016;06:00;106038;Définitif;7110;Définitif;113148;64920;Définitif;178068
2016-12-31T05:30:00+01:00;31/12/2016;05:30;;;;;;64501;Définitif;
2016-12-31T05:00:00+01:00;31/12/2016;05:00;97255;Définitif;5942;Définitif;103197;63774;Définitif;166971
2016-12-31T04:30:00+01:00;31/12/2016;04:30;;;;;;63964;Définitif;
2016-12-31T04:00:00+01:00;31/12/2016;04:00;92634;Définitif;5395;Définitif;98029;64402;Définitif;162431
2016-12-31T03:30:00+01:00;31/12/2016;03:30;;;;;;65493;Définitif;
2016-12-31T03:00:00+01:00;31/12/2016;03:00;90012;Définitif;5143;Définitif;95155;66735;Définitif;161890
2016-12-31T02:30:00+01:00;31/12/2016;02:30;;;;;;68734;Définitif;
2016-12-31T02:00:00+01:00;31/12/2016;02:00;88710;Définitif;5016;Définitif;93726;69389;Définitif;163115
2016-12-31T01:30:00+01:00;31/12/2016;01:30;;;;;;69981;Définitif;
2016-12-31T01:00:00+01:00;31/12/2016;01:00;87670;Définitif;4896;Définitif;92566;70283;Définitif;162849
2016-12-31T00:30:00+01:00;31/12/2016;00:30;;;;;;72715;Définitif;
2016-12-31T00:00:00+01:00;31/12/2016;00:00;87159;Définitif;4860;Définitif;92019;74259;Définitif;166278
